IID	pop	med.mtcopyn
NA19210	YRI	1026.52103371043
NA19213	YRI	988.878492214953
NA19214	YRI	1177.94796531272
NA19222	YRI	765.633216621446
NA19223	YRI	1063.11394687587
NA19225	YRI	590.309369382431
NA19235	YRI	788.693476818124
NA19236	YRI	745.636119099107
NA19238	YRI	1253.97979829553
NA19239	YRI	977.92139722953
NA19240	YRI	1127.42028997695
NA19247	YRI	922.274200038501
NA19248	YRI	828.778060765537
NA19256	YRI	741.934628241206
NA19257	YRI	493.569640720249
HG00551	PUR	1038.08228240926
HG00553	PUR	783.557896535948
HG00554	PUR	741.27571170497
HG00637	PUR	899.67144476619
HG00638	PUR	902.980284433921
HG00640	PUR	635.512566054923
HG00641	PUR	915.222861406369
HG00731	PUR	337.662854463855
HG00732	PUR	604.340693893499
HG00733	PUR	361.710329501875
HG00734	PUR	742.303601244606
HG00736	PUR	790.116106497694
HG00737	PUR	703.382899029423
HG00739	PUR	1077.3816152554
HG00740	PUR	764.59958693102
HG00742	PUR	52.1897861351949
HG00743	PUR	39.6362348283212
HG01047	PUR	633.289872809743
HG01048	PUR	683.655033963419
HG01049	PUR	627.213225101508
HG01051	PUR	36.8817286813143
HG01052	PUR	33.4305444520012
HG01054	PUR	1049.84476095097
HG01055	PUR	670.095647748242
HG01058	PUR	45.0266323049972
HG01060	PUR	74.319185583991
HG01061	PUR	39.9411518904892
HG01063	PUR	49.5705590158567
HG01064	PUR	53.356452427877
HG01066	PUR	846.437417404664
HG01067	PUR	695.266361456622
HG01069	PUR	43.912077176304
HG01070	PUR	32.9439990987889
HG01072	PUR	50.8233265632253
HG01073	PUR	652.742034546605
HG01075	PUR	54.4819420165795
HG01077	PUR	59.1502448603011
HG01079	PUR	779.023557905982
HG01080	PUR	780.40621192507
HG01082	PUR	45.804905437378
HG01083	PUR	58.1776718055382
HG01085	PUR	936.590662212913
HG01086	PUR	892.522925092466
HG01088	PUR	39.1199999385606
HG01089	PUR	75.2433290199399
HG01092	PUR	44.9658642461558
HG01094	PUR	968.323683630849
HG01095	PUR	43.0763629660846
HG01097	PUR	44.9626656326069
HG01098	PUR	38.7808805087445
HG01101	PUR	59.3336006116197
HG01102	PUR	64.9068458192837
HG01104	PUR	776.13477577404
HG01105	PUR	848.03537597243
HG01107	PUR	59.4206912754339
HG01108	PUR	69.2414537415764
HG01110	PUR	770.571408065598
HG01111	PUR	1023.5484308013
HG01112	CLM	834.462864937139
HG01113	CLM	1298.56335407435
HG01119	CLM	961.041692770303
HG01121	CLM	1274.28665563916
HG01122	CLM	926.228270681537
HG01124	CLM	797.279854157786
HG01125	CLM	842.756250720381
HG01130	CLM	905.987233278502
HG01131	CLM	621.843502420381
HG01133	CLM	816.713481455769
HG01134	CLM	939.404579935574
HG01136	CLM	820.647239159686
HG01137	CLM	955.784270597163
HG01139	CLM	692.325749075581
HG01140	CLM	602.404323930313
HG01142	CLM	961.447617793704
HG01148	CLM	822.740132921612
HG01149	CLM	785.763466540938
HG01161	PUR	63.1758585062546
HG01162	PUR	50.0067345178322
HG01164	PUR	62.509523063524
HG01167	PUR	41.7194650616874
HG01168	PUR	44.6108503432708
HG01170	PUR	45.0983915619947
HG01171	PUR	39.4944903123686
HG01173	PUR	66.7732907492792
HG01174	PUR	57.1805371946024
HG01176	PUR	69.5388346864204
HG01177	PUR	832.118341618147
HG01182	PUR	59.8707862088291
HG01183	PUR	70.2791419744631
HG01187	PUR	68.5995482101783
HG01188	PUR	68.7317631810342
HG01190	PUR	63.6984947626749
HG01191	PUR	62.0732619931792
HG01197	PUR	52.8963095387878
HG01198	PUR	49.4577196340358
HG01200	PUR	55.7041010603672
HG01204	PUR	83.084261769788
HG01205	PUR	762.43679843974
HG01241	PUR	59.2298646425008
HG01242	PUR	66.2015460544956
HG01247	PUR	846.164759717239
HG01248	PUR	720.811921020449
HG01250	CLM	776.85507752076
HG01251	CLM	657.519510783949
HG01253	CLM	675.136047151411
HG01254	CLM	558.648390963107
HG01256	CLM	758.563267266818
HG01257	CLM	703.686952707846
HG01259	CLM	924.11680218802
HG01260	CLM	597.902382429742
HG01269	CLM	1072.21053251154
HG01271	CLM	1421.84506257822
HG01272	CLM	979.915659183958
HG01275	CLM	1211.77861402164
HG01277	CLM	885.900829984706
HG01280	CLM	1017.28928733619
HG01281	CLM	754.644481116455
HG01284	CLM	698.976682166814
HG01286	PUR	57.1034859481705
HG01302	PUR	60.1542034957508
HG01303	PUR	81.5951221526587
HG01305	PUR	46.7725629242683
HG01308	PUR	52.8720890884559
HG01311	PUR	78.4105774225959
HG01312	PUR	69.7252922307808
HG01323	PUR	61.8087549568412
HG01325	PUR	71.2211059736154
HG01326	PUR	74.9412508907882
HG01341	CLM	847.459517489393
HG01342	CLM	606.013915373697
HG01344	CLM	950.601884811895
HG01345	CLM	1211.8120289859
HG01348	CLM	789.007750460873
HG01350	CLM	593.271909812662
HG01351	CLM	756.748992941458
HG01353	CLM	688.393102478569
HG01354	CLM	757.655260874084
HG01356	CLM	730.944785196547
HG01357	CLM	1101.97017216557
HG01359	CLM	839.58637041267
HG01360	CLM	712.605329938983
HG01362	CLM	628.254532713565
HG01363	CLM	979.211616730513
HG01365	CLM	691.109596479642
HG01366	CLM	815.516757285018
HG01369	CLM	690.180847248774
HG01372	CLM	771.081562688949
HG01374	CLM	723.078206395493
HG01375	CLM	690.739098106643
HG01377	CLM	1075.55181818308
HG01378	CLM	998.365509106589
HG01383	CLM	771.867835092311
HG01384	CLM	804.094598255688
HG01389	CLM	635.030530119487
HG01390	CLM	691.472913006181
HG01392	PUR	52.6285184803097
HG01393	PUR	55.4018681458508
HG01395	PUR	61.3128031573252
HG01396	PUR	65.4260591531053
HG01398	PUR	58.1108067089324
HG01402	PUR	49.7934977084575
HG01403	PUR	71.5054014198633
HG01405	PUR	766.776667528726
HG01412	PUR	48.4588127248453
HG01413	PUR	66.3739119343437
HG01414	PUR	82.3270311877014
HG01431	CLM	1097.51109416085
HG01432	CLM	862.929757305543
HG01435	CLM	811.166427870982
HG01437	CLM	599.936575997874
HG01438	CLM	729.861457598452
HG01440	CLM	881.977610799795
HG01441	CLM	639.827544084314
HG01443	CLM	928.391143429762
HG01444	CLM	566.835017372925
HG01447	CLM	687.011203736404
HG01455	CLM	714.113743041343
HG01456	CLM	475.922808594778
HG01459	CLM	1060.83636391637
HG01461	CLM	857.491051565817
HG01462	CLM	809.752792030616
HG01464	CLM	865.972953490393
HG01465	CLM	622.67225481988
HG01468	CLM	901.08162174266
HG01474	CLM	832.905484808278
HG01479	CLM	684.47468152755
HG01485	CLM	721.102897338826
HG01486	CLM	701.776330185226
HG01488	CLM	734.715039314569
HG01489	CLM	795.566058902987
HG01491	CLM	769.527529660925
HG01492	CLM	667.039076867083
HG01494	CLM	561.690721980983
HG01495	CLM	999.861646404799
HG01497	CLM	724.335596163529
HG01498	CLM	686.338464082839
HG01550	CLM	711.443436113419
HG01551	CLM	708.643223343282
HG01556	CLM	774.802838811011
HG01565	PEL	1331.99536885712
HG01566	PEL	791.324169961888
HG01571	PEL	996.892471961082
HG01572	PEL	929.114912051289
HG01577	PEL	1325.58513202465
HG01578	PEL	1042.22499652424
HG01879	ACB	904.846962979601
HG01880	ACB	1195.01080706687
HG01882	ACB	725.18731465376
HG01883	ACB	755.86626643352
HG01885	ACB	787.490795805376
HG01886	ACB	59.0672587173839
HG01889	ACB	57.3526485979929
HG01890	ACB	75.6510492177819
HG01892	PEL	71.1282754420121
HG01893	PEL	70.1844942817116
HG01894	ACB	87.8489693686954
HG01896	ACB	571.786701691224
HG01912	ACB	71.3805097757177
HG01914	ACB	1175.3404846479
HG01915	ACB	879.926730746937
HG01917	PEL	39.570723029702
HG01918	PEL	49.9149924732955
HG01920	PEL	50.898317112581
HG01921	PEL	58.5702333406098
HG01923	PEL	1291.06598653943
HG01924	PEL	1342.36326843507
HG01926	PEL	771.751676332561
HG01927	PEL	1103.2510915009
HG01932	PEL	1182.18145257063
HG01933	PEL	1029.8572933501
HG01935	PEL	1078.40486062948
HG01936	PEL	1087.7465191578
HG01938	PEL	762.30259227429
HG01939	PEL	977.774305796852
HG01941	PEL	1142.24308088203
HG01942	PEL	693.572726478679
HG01944	PEL	760.404686538715
HG01945	PEL	1045.33626660384
HG01947	PEL	1275.61277454873
HG01948	PEL	958.946508745845
HG01950	PEL	1400.86877063642
HG01951	PEL	1020.86503987165
HG01953	PEL	38.7943917946154
HG01954	PEL	40.0218945103384
