anc.pop	admx.pop	sex	proportion	norm.proportion	bootstrap
Native_American	PEL	f	0.5	0.492125984251969	4
European	PEL	f	0	0	4
African	PEL	f	0.008	0.0078740157480315	4
Native_American	PEL	m	0.246	0.25	4
European	PEL	m	0.223	0.226626016260163	4
African	PEL	m	0.023	0.0233739837398374	4
Native_American	PUR	f	0.131	0.136458333333333	4
European	PUR	f	0.231	0.240625	4
African	PUR	f	0.118	0.122916666666667	4
Native_American	PUR	m	0	0	4
European	PUR	m	0.5	0.481695568400771	4
African	PUR	m	0.019	0.0183044315992293	4
Native_American	ACB	f	0.003	0.00298210735586481	5
European	ACB	f	0	0	5
African	ACB	f	0.5	0.497017892644135	5
Native_American	ACB	m	0	0	5
European	ACB	m	0.109	0.109657947686117	5
African	ACB	m	0.388	0.390342052313883	5
Native_American	ASW	f	0.018	0.0213270142180095	5
European	ASW	f	0.031	0.0367298578199052	5
African	ASW	f	0.373	0.441943127962085	5
Native_American	ASW	m	0	0	5
European	ASW	m	0.17	0.146804835924007	5
African	ASW	m	0.409	0.353195164075993	5
Native_American	CLM	f	0.252	0.260330578512397	5
European	CLM	f	0.16	0.165289256198347	5
African	CLM	f	0.072	0.0743801652892562	5
Native_American	CLM	m	0	0	5
European	CLM	m	0.5	0.484496124031008	5
African	CLM	m	0.016	0.0155038759689922	5
Native_American	MXL	f	0.5	0.494071146245059	5
European	MXL	f	0	0	5
African	MXL	f	0.006	0.00592885375494071	5
Native_American	MXL	m	0.004	0.00404040404040404	5
European	MXL	m	0.453	0.457575757575758	5
African	MXL	m	0.038	0.0383838383838384	5
Native_American	PEL	f	0.492	0.478599221789883	5
European	PEL	f	0	0	5
African	PEL	f	0.022	0.0214007782101167	5
Native_American	PEL	m	0.258	0.265979381443299	5
European	PEL	m	0.205	0.211340206185567	5
African	PEL	m	0.022	0.022680412371134	5
Native_American	PUR	f	0.128	0.128	5
European	PUR	f	0.243	0.243	5
African	PUR	f	0.129	0.129	5
Native_American	PUR	m	0	0	5
European	PUR	m	0.5	0.5	5
African	PUR	m	0	0	5
Native_American	ACB	f	0.003	0.00298804780876494	6
European	ACB	f	0	0	6
African	ACB	f	0.499	0.497011952191235	6
Native_American	ACB	m	0	0	6
European	ACB	m	0.123	0.123493975903614	6
African	ACB	m	0.375	0.376506024096386	6
Native_American	ASW	f	0	0	6
European	ASW	f	0.055	0.0547808764940239	6
African	ASW	f	0.447	0.445219123505976	6
Native_American	ASW	m	0.054	0.0542168674698795	6
European	ASW	m	0.147	0.147590361445783	6
African	ASW	m	0.297	0.298192771084337	6
Native_American	CLM	f	0.26	0.262096774193548	6
European	CLM	f	0.173	0.174395161290323	6
African	CLM	f	0.063	0.063508064516129	6
Native_American	CLM	m	0	0	6
European	CLM	m	0.5	0.496031746031746	6
African	CLM	m	0.004	0.00396825396825397	6
