European	African	Native American	category
-0.00307804250782712	0.00401345645889506	-0.000935413951067755	high
-0.00423682659456961	0.0050698289600325	-0.000833002365462778	high
-0.00995975521860876	0.0111413190969478	-0.00118156387833888	high
-0.00306104931738666	0.00377994787160274	-0.000718898554215954	high
-0.00646882737408289	0.00732610243654608	-0.00085727506246297	high
-0.00582069789133075	0.00722438529072389	-0.00140368739939303	high
-0.00513995267002537	0.00647637743768437	-0.00133642476765881	high
-0.00123536236484997	0.00255519016331174	-0.00131982779846159	high
-0.00717770745983151	0.00879186368111773	-0.00161415622128608	high
-0.00262727163416235	0.0034551003770672	-0.00082782874290465	high
-0.00371047791850723	0.00493570556251077	-0.00122522764400343	high
-0.006795573340907	0.00857610001540943	-0.00178052667450226	high
-0.00411809265417895	0.00539937028610549	-0.0012812776319264	high
-0.00258052298377046	0.00332938714167774	-0.000748864157907106	high
-0.00350969331360443	0.00492958863851201	-0.00141989532490739	high
-0.00530330628600792	0.00607844196245622	-0.00077513567644813	high
-0.0017434596795082	0.00361406482153992	-0.00187060514203152	high
-0.00307340016812097	0.00389728272316614	-0.000823882555045057	high
-0.00803623135174322	0.00937895715585724	-0.00134272580411383	high
-0.0074942414689379	0.00884526320770107	-0.00135102173876305	high
-0.00688575876712388	0.00833207165896077	-0.00144631289183673	high
-0.00384373971510266	0.00561559637906894	-0.00177185666396616	high
-0.00912654636944477	0.0103954547170695	-0.00126890834762459	high
-0.00418840870893095	0.00513715039190454	-0.000948741682973493	high
-6.32530972331791e-05	0.00184748734891349	-0.00178423425168017	high
-0.00393881384413117	0.00573855740052232	-0.00179974355639099	high
-0.0055849735069759	0.00689677636730268	-0.00131180286032665	high
-0.00457261137663734	0.00586328361882671	-0.00129067224218916	high
-0.0062042030033839	0.00753255614034909	-0.00132835313696503	high
-0.00305626231063549	0.00382282105465659	-0.00076655874402097	high
-0.00474254996593082	0.00673946608478226	-0.00199691611885124	high
-0.00245042184987399	0.00278937983777183	-0.000338957987897633	high
-0.00725354439314077	0.00810758878205542	-0.000854044388914489	high
-0.0058019263186859	0.00736447593857659	-0.00156254961989052	high
-0.00283687434125676	0.00404571258829856	-0.00120883824704166	high
-0.000465731759960675	0.0021219593195696	-0.00165622755960872	high
-0.002824791487293	0.00396380927115081	-0.00113901778385768	high
-0.00595982508531076	0.00708731498993998	-0.00112748990462901	high
-0.00578744642457651	0.00654612919120212	-0.000758682766625461	high
