IID	sex	pop
HG01367	female	CLM
HG01441	female	CLM
NA19092	male	YRI
HG01347	male	CLM
HG01374	male	CLM
HG01453	female	CLM
NA19097	female	YRI
HG01277	male	CLM
HG01379	female	CLM
HG01390	female	CLM
HG01284	female	CLM
HG01305	male	PUR
HG01395	male	PUR
HG01311	male	PUR
HG01312	female	PUR
HG01477	female	CLM
HG01323	female	PUR
HG01324	female	PUR
HG01484	female	CLM
HG01241	male	PUR
HG01413	male	PUR
HG01489	female	CLM
HG01432	female	CLM
HG01352	female	CLM
HG01437	male	CLM
HG01357	female	CLM
HG01551	female	CLM
HG01444	female	CLM
HG01403	female	PUR
HG01556	male	CLM
HG01355	female	CLM
HG01415	female	PUR
HG01493	female	CLM
HG01362	male	CLM
HG01345	female	CLM
HG01498	female	CLM
HG01393	female	PUR
HG01465	female	CLM
HG01398	male	PUR
HG01326	female	PUR
HG01474	female	CLM
HG01482	male	CLM
HG01479	male	CLM
HG01487	female	CLM
HG01481	female	CLM
HG01486	female	CLM
HG01552	male	CLM
HG01385	female	CLM
HG01571	male	PEL
NA19256	male	YRI
HG01392	male	PUR
HG01494	male	CLM
HG01397	female	PUR
HG01499	male	CLM
NA19186	male	YRI
NA19198	male	YRI
NA19201	female	YRI
HG01405	male	PUR
NA19143	female	YRI
HG01412	male	PUR
NA19148	female	YRI
HG01431	male	CLM
HG01566	female	PEL
NA19150	male	YRI
HG01455	male	CLM
NA19225	female	YRI
HG01462	female	CLM
NA19237	female	YRI
NA19249	male	YRI
HG01573	female	PEL
HG01443	male	CLM
HG01578	female	PEL
HG01491	male	CLM
HG01496	female	CLM
NA19206	female	YRI
NA19213	male	YRI
NA19129	female	YRI
NA19131	female	YRI
NA19174	male	YRI
HG01879	male	ACB
NA19679	male	MXL
NA19681	female	MXL
NA19686	female	MXL
NA19701	female	ASW
NA19648	female	MXL
NA19713	female	ASW
NA19718	female	MXL
NA19650	male	MXL
NA19655	male	MXL
HG01897	male	ACB
HG01912	male	ACB
HG01917	male	PEL
NA19662	female	MXL
HG01880	female	ACB
HG01960	female	ACB
NA19674	male	MXL
HG01885	male	ACB
HG01965	female	PEL
NA20277	female	ASW
HG01892	male	PEL
HG01972	female	PEL
NA20284	male	ASW
HG01936	female	PEL
HG02012	female	ACB
HG01977	male	PEL
NA20289	female	ASW
HG01943	male	PEL
HG01946	male	PEL
NA20291	male	ASW
HG01953	male	PEL
NA19720	male	MXL
HG01881	female	ACB
HG01958	female	ACB
NA19725	female	MXL
HG01886	female	ACB
HG02014	male	ACB
NA19732	male	MXL
HG01893	female	PEL
NA19751	male	MXL
HG01949	female	PEL
NA19756	male	MXL
HG01951	female	PEL
HG01922	female	PEL
NA19763	female	MXL
HG01956	female	ACB
HG01927	female	PEL
NA19922	male	ASW
HG01898	female	PEL
HG01934	male	PEL
NA19984	male	ASW
HG01918	female	PEL
HG01883	female	ACB
NA20126	male	ASW
HG01924	female	PEL
HG01920	male	PEL
HG01888	male	ACB
NA19794	female	MXL
HG01968	female	PEL
HG01890	male	ACB
NA19819	female	ASW
HG01970	male	PEL
HG01984	male	PEL
NA19770	female	MXL
HG01993	female	PEL
HG01975	female	PEL
HG01989	female	ACB
NA19775	female	MXL
HG01998	male	PEL
HG01939	female	PEL
NA19782	female	MXL
