Sample	Population	Low CoverageEBV Coverage	DNA Source from Coriell	Has Sequence from Blood in Index
HG04132	BEB		LCL	
HG04134	BEB	214.98	LCL	
HG04135	BEB		LCL	
HG04140	BEB	78.51	LCL	
HG04141	BEB	164.45	LCL	
HG04144	BEB	241.77	LCL	
HG04146	BEB	153.82	LCL	
HG04147	BEB		LCL	
HG04149	BEB		LCL	
HG04150	BEB		LCL	
HG04152	BEB	172.71	LCL	
HG04153	BEB	109.46	LCL	
HG04155	BEB	51.85	LCL	
HG04156	BEB	70.97	LCL	
HG04158	BEB	316.74	LCL	
HG04159	BEB	98.82	LCL	
HG04161	BEB	180.27	LCL	
HG04162	BEB	127.09	LCL	
HG04164	BEB	295.6	LCL	
HG04171	BEB	216.88	LCL	
HG04173	BEB	258.72	LCL	
HG04174	BEB		LCL	
HG04176	BEB	382.09	LCL	
HG04177	BEB	152.77	LCL	
HG04180	BEB	72.47	LCL	
HG04182	BEB	218.83	LCL	
HG04183	BEB	111.15	LCL	
HG04185	BEB	88.19	LCL	
HG04186	BEB	38.16	LCL	
HG04188	BEB	86.41	LCL	
HG04189	BEB	72.4	LCL	
HG04191	BEB		LCL	
HG04192	BEB		LCL	
HG04194	BEB	277.54	LCL	
HG04195	BEB	397.02	LCL	
HG04198	ITU	0.06	Blood	
HG04200	ITU	0.06	Blood	
HG04202	ITU	0.01	Blood	
HG04206	ITU	0.01	Blood	
HG04209	ITU	0	Blood	
HG04210	STU	0.01	Blood	
HG04211	ITU	0	Blood	
HG04212	ITU	0.01	Blood	
HG04214	ITU	0.02	Blood	
HG04216	ITU	0.01	Blood	
HG04219	ITU	0.01	Blood	
HG04222	ITU	0	Blood	
HG04225	ITU	0	Blood	
HG04227	STU	0	Blood	
HG04229	STU	0.02	Blood	
HG04235	ITU	0.03	Blood	
HG04238	ITU	0	Blood	
HG04239	ITU	0	Blood	
HG04301	GBR		LCL	
HG04302	GBR		LCL	
HG04303	GBR		LCL	
NA18591	CHB	94.88	LCL	
NA18629	CHB	283.84	LCL	
NA18644	CHB	59.54	LCL	
NA18646	CHB	181.46	LCL	
NA18648	CHB	28.74	LCL	
NA18791	CHB		LCL	
NA18794	CHB		LCL	
NA18795	CHB		LCL	
NA18864	YRI	213.27	LCL	
NA18865	YRI	67.39	LCL	
NA18876	YRI	299.02	LCL	
NA18877	YRI	193.92	LCL	
NA18878	YRI	74.21	LCL	
NA18879	YRI	177.94	LCL	
NA18881	YRI	609.56	LCL	
NA18915	YRI	288.55	LCL	
NA19006	JPT	89.39	LCL	
NA19011	JPT	218.07	LCL	
NA19017	LWK	272.05	LCL	
NA19019	LWK	231.96	LCL	
NA19023	LWK	228.4	LCL	
NA19024	LWK	43.4	LCL	
NA19025	LWK	121.02	LCL	
NA19026	LWK	534.27	LCL	
NA19030	LWK	132.14	LCL	
NA19037	LWK	1466.8	LCL	
NA19042	LWK	111.31	LCL	
NA19043	LWK	332.55	LCL	
NA19089	JPT	122.2	LCL	
NA19090	JPT	112.24	LCL	
NA19091	JPT	368.24	LCL	
NA19238	YRI	80.58	LCL	
NA19239	YRI	56.13	LCL	
NA19240	YRI	596.13	LCL	
NA19320	LWK	196.66	LCL	
NA19323	LWK	235.99	LCL	
NA19378	LWK	1679.02	LCL	
NA19454	LWK	83.79	LCL	
NA19475	LWK	370.42	LCL	
NA19792	MXL	69.79	LCL	
NA19797	MXL		LCL	
NA19798	MXL		LCL	
NA19913	ASW	73.3	LCL	
NA20274	ASW	158.88	LCL	
NA20318	ASW	39.24	LCL	
NA20320	ASW	69.56	LCL	
NA20355	ASW	117.73	LCL	
NA20362	ASW	70.72	LCL	
NA20511	TSI	204.12	LCL	
NA20587	TSI	194.47	LCL	
NA20762	TSI	96.02	LCL	
NA20763	TSI	107.41	LCL	
NA20764	TSI	363.98	LCL	
NA20767	TSI	202.5	LCL	
NA20821	TSI	204.73	LCL	
NA20822	TSI	505.52	LCL	
NA20827	TSI	148.39	LCL	
NA20829	TSI		LCL	
NA20831	TSI		LCL	
NA20832	TSI	394.49	LCL	
NA20900	GIH	57.32	LCL	
NA21124	GIH	620.81	LCL	
NA21126	GIH	117.32	LCL	
NA21127	GIH	56.44	LCL	
NA21128	GIH	145.37	LCL	
NA21129	GIH	334.38	LCL	
NA21130	GIH	191.33	LCL	
NA21133	GIH	117.09	LCL	
NA21135	GIH	185.16	LCL	
